algorithm,init,crossover,run,seed,f1_compactness,f2_transformed_tolerance,f3_transformed_hamming_avg,f4_balance_var
NSGA2,random_dense,UX,1,2046743687,102.0,-0.27450980392156865,-0.4492681824502851,0.0047687430347776215
NSGA2,random_dense,UX,1,2046743687,101.0,-0.27722772277227725,-0.44648374411909275,0.0042805261562891585
NSGA2,random_dense,UX,1,2046743687,109.0,-0.27522935779816515,-0.4523716572320906,0.00485045244014613
NSGA2,random_dense,UX,1,2046743687,180.0,-0.2222222222222222,-0.3659869976359338,0.002224387012446279
NSGA2,random_dense,UX,1,2046743687,112.0,-0.2857142857142857,-0.45175563576494426,0.004675560975619828
NSGA2,random_dense,UX,1,2046743687,149.0,-0.2080536912751678,-0.3506116426293493,0.0021575289779738735
NSGA2,random_dense,UX,1,2046743687,174.0,-0.21839080459770116,-0.3628586859052743,0.002283943430871396
NSGA2,random_dense,UX,1,2046743687,180.0,-0.2388888888888889,-0.3681245074862096,0.002346727690250816
NSGA2,random_dense,UX,1,2046743687,183.0,-0.15300546448087432,-0.291283959229547,0.0011398654506481745
NSGA2,random_dense,UX,1,2046743687,104.0,-0.23076923076923078,-0.4003341516639389,0.003187548336790289
NSGA2,random_dense,UX,1,2046743687,145.0,-0.13793103448275862,-0.3351675226216679,0.0018557306580575372
